# DPGA full geometry file (creation date: 2016-04-07 09:43:09.97714454 +0200 CEST)
# iChannelAbs240 X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4 X5 Y5 Z5 X6 Y6 Z6 X7 Y7 Z7
60 -145.00936680429763 -35.48106592278004 -55.25 -145.00936680429763 -35.48106592278004 -68.25 -146.70620730315832 -22.5922827249205 -68.25 -146.70620730315832 -22.5922827249205 -55.25 -159.88103972490478 -37.43895880608081 -55.25 -159.88103972490478 -37.43895880608081 -68.25 -161.57788022376548 -24.55017560822127 -68.25 -161.57788022376548 -24.55017560822127 -55.25
61 -145.00936680429763 -35.48106592278004 -74.75 -145.00936680429763 -35.48106592278004 -87.75 -146.70620730315832 -22.5922827249205 -87.75 -146.70620730315832 -22.5922827249205 -74.75 -159.88103972490478 -37.43895880608081 -74.75 -159.88103972490478 -37.43895880608081 -87.75 -161.57788022376548 -24.55017560822127 -87.75 -161.57788022376548 -24.55017560822127 -74.75
62 -147.55462755258864 -16.147891125990732 -55.25 -147.55462755258864 -16.147891125990732 -68.25 -149.25146805144934 -3.259107928131196 -68.25 -149.25146805144934 -3.259107928131196 -55.25 -162.4263004731958 -18.1057840092915 -55.25 -162.4263004731958 -18.1057840092915 -68.25 -164.1231409720565 -5.217000811431966 -68.25 -164.1231409720565 -5.217000811431966 -55.25
63 -147.55462755258864 -16.147891125990732 -74.75 -147.55462755258864 -16.147891125990732 -87.75 -149.25146805144934 -3.259107928131196 -87.75 -149.25146805144934 -3.259107928131196 -74.75 -162.4263004731958 -18.1057840092915 -74.75 -162.4263004731958 -18.1057840092915 -87.75 -164.1231409720565 -5.217000811431966 -87.75 -164.1231409720565 -5.217000811431966 -74.75
64 -145.00936680429763 -35.48106592278004 -16.25 -145.00936680429763 -35.48106592278004 -29.25 -146.70620730315832 -22.5922827249205 -29.25 -146.70620730315832 -22.5922827249205 -16.25 -159.88103972490478 -37.43895880608081 -16.25 -159.88103972490478 -37.43895880608081 -29.25 -161.57788022376548 -24.55017560822127 -29.25 -161.57788022376548 -24.55017560822127 -16.25
65 -145.00936680429763 -35.48106592278004 -35.75 -145.00936680429763 -35.48106592278004 -48.75 -146.70620730315832 -22.5922827249205 -48.75 -146.70620730315832 -22.5922827249205 -35.75 -159.88103972490478 -37.43895880608081 -35.75 -159.88103972490478 -37.43895880608081 -48.75 -161.57788022376548 -24.55017560822127 -48.75 -161.57788022376548 -24.55017560822127 -35.75
66 -147.55462755258864 -16.147891125990732 -16.25 -147.55462755258864 -16.147891125990732 -29.25 -149.25146805144934 -3.259107928131196 -29.25 -149.25146805144934 -3.259107928131196 -16.25 -162.4263004731958 -18.1057840092915 -16.25 -162.4263004731958 -18.1057840092915 -29.25 -164.1231409720565 -5.217000811431966 -29.25 -164.1231409720565 -5.217000811431966 -16.25
67 -147.55462755258864 -16.147891125990732 -35.75 -147.55462755258864 -16.147891125990732 -48.75 -149.25146805144934 -3.259107928131196 -48.75 -149.25146805144934 -3.259107928131196 -35.75 -162.4263004731958 -18.1057840092915 -35.75 -162.4263004731958 -18.1057840092915 -48.75 -164.1231409720565 -5.217000811431966 -48.75 -164.1231409720565 -5.217000811431966 -35.75
68 -145.00936680429763 -35.48106592278004 22.75 -145.00936680429763 -35.48106592278004 9.75 -146.70620730315832 -22.5922827249205 9.75 -146.70620730315832 -22.5922827249205 22.75 -159.88103972490478 -37.43895880608081 22.75 -159.88103972490478 -37.43895880608081 9.75 -161.57788022376548 -24.55017560822127 9.75 -161.57788022376548 -24.55017560822127 22.75
69 -145.00936680429763 -35.48106592278004 3.25 -145.00936680429763 -35.48106592278004 -9.75 -146.70620730315832 -22.5922827249205 -9.75 -146.70620730315832 -22.5922827249205 3.25 -159.88103972490478 -37.43895880608081 3.25 -159.88103972490478 -37.43895880608081 -9.75 -161.57788022376548 -24.55017560822127 -9.75 -161.57788022376548 -24.55017560822127 3.25
